	Feature_Name	Phenotypic_Class	Value
0	CP__AreaShape_Area	ADCCM	0.040783701507196325
1	CP__AreaShape_Area	Anaphase	0.030578388830009767
2	CP__AreaShape_Area	Apoptosis	0.024386564222073286
3	CP__AreaShape_Area	Binuclear	0.004246761551136862
4	CP__AreaShape_Area	Elongated	0.006972366178843087
5	CP__AreaShape_Area	Grape	0.055426921510727964
6	CP__AreaShape_Area	Hole	0.06107100407489396
7	CP__AreaShape_Area	Interphase	0.0032185782307144794
8	CP__AreaShape_Area	Large	0.0005811972257949617
9	CP__AreaShape_Area	Metaphase	0.023634479545635495
10	CP__AreaShape_Area	MetaphaseAlignment	0.047560671020528744
11	CP__AreaShape_Area	OutOfFocus	0.05314876010982365
12	CP__AreaShape_Area	Polylobed	0.04793394824509845
13	CP__AreaShape_Area	Prometaphase	0.024684109689297573
14	CP__AreaShape_Area	SmallIrregular	0.01887071755770729
15	CP__AreaShape_BoundingBoxArea	ADCCM	0.01566654068196795
16	CP__AreaShape_BoundingBoxArea	Anaphase	0.08024904820457605
17	CP__AreaShape_BoundingBoxArea	Apoptosis	0.03022164131548445
18	CP__AreaShape_BoundingBoxArea	Binuclear	0.054587513334118466
19	CP__AreaShape_BoundingBoxArea	Elongated	0.00532721441595607
20	CP__AreaShape_BoundingBoxArea	Grape	0.03567956244621069
21	CP__AreaShape_BoundingBoxArea	Hole	0.001959224553763951
22	CP__AreaShape_BoundingBoxArea	Interphase	0.010502671168703874
23	CP__AreaShape_BoundingBoxArea	Large	0.028949598675797734
24	CP__AreaShape_BoundingBoxArea	Metaphase	0.018199317055198793
25	CP__AreaShape_BoundingBoxArea	MetaphaseAlignment	0.05969247185483639
26	CP__AreaShape_BoundingBoxArea	OutOfFocus	0.06053938035971441
27	CP__AreaShape_BoundingBoxArea	Polylobed	0.027255425338820954
28	CP__AreaShape_BoundingBoxArea	Prometaphase	0.023906554724947973
29	CP__AreaShape_BoundingBoxArea	SmallIrregular	0.022350624861877295
30	CP__AreaShape_BoundingBoxMaximum_X	ADCCM	0.004574215739629395
31	CP__AreaShape_BoundingBoxMaximum_X	Anaphase	0.04047692333507102
32	CP__AreaShape_BoundingBoxMaximum_X	Apoptosis	0.003679548873632117
33	CP__AreaShape_BoundingBoxMaximum_X	Binuclear	0.058982726997156606
34	CP__AreaShape_BoundingBoxMaximum_X	Elongated	0.17838700083769715
35	CP__AreaShape_BoundingBoxMaximum_X	Grape	0.03123464933558154
36	CP__AreaShape_BoundingBoxMaximum_X	Hole	0.02321684901754679
37	CP__AreaShape_BoundingBoxMaximum_X	Interphase	0.08162001401253599
38	CP__AreaShape_BoundingBoxMaximum_X	Large	0.03957345388297852
39	CP__AreaShape_BoundingBoxMaximum_X	Metaphase	0.0002760895933361608
40	CP__AreaShape_BoundingBoxMaximum_X	MetaphaseAlignment	0.055284595778036134
41	CP__AreaShape_BoundingBoxMaximum_X	OutOfFocus	0.029066029551837597
42	CP__AreaShape_BoundingBoxMaximum_X	Polylobed	0.019962557430169822
