UMAP1	y_distribution	Mitocheck_Phenotypic_Class
2.6727352	0.5488135039273248	Polylobed
9.317974	0.7151893663724195	MetaphaseAlignment
-5.5003276	0.6027633760716439	Interphase
-4.605271	0.5448831829968969	Interphase
6.1979537	0.4236547993389047	Artefact
-4.6614175	0.6458941130666561	Artefact
6.171038	0.4375872112626925	Artefact
5.7331967	0.8917730007820798	Artefact
5.630792	0.9636627605010293	Polylobed
-5.419625	0.3834415188257777	Interphase
-6.1426115	0.7917250380826646	Polylobed
-6.1198783	0.5288949197529045	Interphase
8.278043	0.5680445610939323	Artefact
-5.4687943	0.925596638292661	Interphase
-3.90241	0.07103605819788694	Artefact
-4.0342813	0.08712929970154071	Artefact
-4.1606755	0.02021839744032572	Artefact
-4.13291	0.832619845547938	Artefact
-6.2925844	0.7781567509498505	Polylobed
-4.190848	0.8700121482468192	Artefact
-6.2204747	0.978618342232764	Polylobed
-6.3428564	0.7991585642167236	Polylobed
-6.269019	0.46147936225293185	Polylobed
-6.310519	0.7805291762864555	Polylobed
-0.025951887	0.11827442586893322	Interphase
-2.6629956	0.6399210213275238	Polylobed
-2.3676138	0.1433532874090464	Polylobed
-2.667029	0.9446689170495839	Polylobed
1.2909644	0.5218483217500717	Polylobed
-2.8516216	0.4146619399905236	Interphase
0.40127257	0.26455561210462697	Binuclear
0.1181941	0.7742336894342167	Binuclear
-2.5874496	0.45615033221654855	Binuclear
-5.0877395	0.5684339488686485	Interphase
1.1137276	0.018789800436355142	Binuclear
1.4691105	0.6176354970758771	Polylobed
1.6577606	0.6120957227224214	Polylobed
1.652926	0.6169339968747569	Polylobed
11.967536	0.9437480785146242	MetaphaseAlignment
9.145526	0.6818202991034834	Prometaphase
12.373357	0.359507900573786	Metaphase
12.430912	0.43703195379934145	Metaphase
8.945938	0.6976311959272649	Metaphase
8.959034	0.06022547162926983	Metaphase
13.008127	0.6667667154456677	MetaphaseAlignment
-4.152686	0.6706378696181594	Binuclear
-0.07874505	0.2103825610738409	Polylobed
-4.2571216	0.1289262976548533	Binuclear
-2.0723577	0.31542835092418386	Polylobed
-6.0883126	0.3637107709426226	Polylobed
-6.0337844	0.5701967704178796	Polylobed
-5.993084	0.43860151346232035	Polylobed
-3.8642755	0.9883738380592262	Polylobed
8.187737	0.10204481074802807	Artefact
8.199369	0.2088767560948347	Artefact
8.239755	0.16130951788499626	Large
-3.6450117	0.6531083254653984	Large
8.7929945	0.2532916025397821	MetaphaseAlignment
7.0755215	0.4663107728563063	Artefact
-5.222765	0.24442559200160274	Polylobed
7.000359	0.15896958364551972	Artefact
-3.69352	0.11037514116430513	Artefact
-2.113235	0.6563295894652734	Polylobed
-2.1792953	0.1381829513486138	Polylobed
-2.1925244	0.1965823616800535	Polylobed
-3.6009748	0.3687251706609641	Artefact
-3.722993	0.8209932298479351	Artefact
-2.1748767	0.09710127579306127	Polylobed
1.7159286	0.8379449074988039	Polylobed
-5.206784	0.09609840789396307	Interphase
0.33715248	0.9764594650133958	Interphase
1.608113	0.4686512016477016	Polylobed
1.8185472	0.9767610881903371	Polylobed
-4.2539363	0.604845519745046	Interphase
-5.7786026	0.7392635793983017	Artefact
-3.1386635	0.039187792254320675	Artefact
-2.95107	0.2828069625764096	Artefact
8.053396	0.1201965612131689	Artefact
8.479537	0.29614019752214493	Artefact
12.404973	0.11872771895424405	Apoptosis
12.468581	0.317983179393976	Apoptosis
8.36281	0.41426299451466997	Metaphase
-5.6645193	0.06414749634878436	Metaphase
9.255513	0.6924721193700198	Metaphase
5.918085	0.5666014542065752	MetaphaseAlignment
5.280373	0.2653894909394454	Polylobed
