Metadata_DNA	Mitocheck_Phenotypic_Class	Model_Feature_Type	Average_Rank	Average_P_Value	Min_IQR_Rank	Max_IQR_Rank	Min_IQR_P_Value	Max_IQR_P_Value	Count
LT0003_40/LT0003_40_149_83.tif	Polylobed	CP	2.3333333333333335	0.6537640207572148	1.0	3.0	0.485112363411994	0.9802649832839558	3
LT0003_40/LT0003_40_149_83.tif	Polylobed	CP_and_DP	2.0	0.6522797171068031	1.0	2.5	0.4843529154634656	0.9776095143790349	3
LT0003_40/LT0003_40_149_83.tif	Polylobed	DP	1.3333333333333333	0.7480705557375735	1.0	1.5	0.6322875113653236	0.9792492499244789	3
LT0010_27/LT0010_27_173_83.tif	Elongated	CP	2.7142857142857144	0.6490401661726	1.0	2.0	0.2505375423546192	0.9865906980979934	21
LT0010_27/LT0010_27_173_83.tif	Elongated	CP_and_DP	1.8571428571428572	0.5911681047459393	1.0	3.0	0.1194123439918636	0.951994390061932	21
LT0010_27/LT0010_27_173_83.tif	Elongated	DP	2.5714285714285716	0.5034034768256218	1.0	3.0	0.0731743836014787	0.9531938004521036	21
LT0010_27/LT0010_27_173_83.tif	Large	CP	13.333333333333334	0.00012628115524815405	13.0	13.5	0.00010479667437878107	0.00016849915436560002	3
LT0010_27/LT0010_27_173_83.tif	Large	CP_and_DP	10.666666666666666	0.0020080201294449553	10.5	11.0	0.0008771675212426331	0.002979048917069	3
LT0010_27/LT0010_27_173_83.tif	Large	DP	9.0	0.009755744051459363	8.0	11.0	0.00027925936182274355	0.0146324472117452	3
LT0012_25/LT0012_25_349_83.tif	Polylobed	CP	1.5	0.5210175093530112	1.25	1.75	0.3791377555635461	0.6628972631424762	2
LT0012_25/LT0012_25_349_83.tif	Polylobed	CP_and_DP	1.5	0.4708820907196591	1.25	1.75	0.26089975393212533	0.6808644275071928	2
LT0012_25/LT0012_25_349_83.tif	Polylobed	DP	2.0	0.3952533474113366	1.5	2.5	0.2655206829161827	0.5249860119064905	2
LT0012_29/LT0012_29_252_83.tif	Apoptosis	CP	6.5	0.16613578116804803	5.5	8.5	3.3022399357760725e-05	0.16671907196029834	4
LT0012_29/LT0012_29_252_83.tif	Apoptosis	CP_and_DP	7.75	0.24203024991939603	4.75	10.5	0.00051766522130565	0.24333780219495593	4
LT0012_29/LT0012_29_252_83.tif	Apoptosis	DP	6.5	0.2545569378611363	3.25	8.25	0.0177021619505878	0.26689237893624385	4
