	Cell_UUID	Metadata_DNA	Mitocheck_Phenotypic_Class	Model_Feature_Type	Model_C	Model_l1_ratio	Model_Phenotypic_Class	Predicted_Probability
0	009a4190-7583-4821-9a17-737f0485d252	LT0010_27/LT0010_27_173_83.tif	Elongated	CP	1.0	0.30000000000000004	ADCCM	0.00029041684920440536
1	009a4190-7583-4821-9a17-737f0485d252	LT0010_27/LT0010_27_173_83.tif	Elongated	CP	1.0	0.30000000000000004	Anaphase	3.956344587660536e-05
2	009a4190-7583-4821-9a17-737f0485d252	LT0010_27/LT0010_27_173_83.tif	Elongated	CP	1.0	0.30000000000000004	Apoptosis	2.1613682848565528e-05
3	009a4190-7583-4821-9a17-737f0485d252	LT0010_27/LT0010_27_173_83.tif	Elongated	CP	1.0	0.30000000000000004	Binuclear	1.4997539846964902e-05
4	009a4190-7583-4821-9a17-737f0485d252	LT0010_27/LT0010_27_173_83.tif	Elongated	CP	1.0	0.30000000000000004	Elongated	0.9912907049480458
5	009a4190-7583-4821-9a17-737f0485d252	LT0010_27/LT0010_27_173_83.tif	Elongated	CP	1.0	0.30000000000000004	Grape	0.00013419672220943467
6	009a4190-7583-4821-9a17-737f0485d252	LT0010_27/LT0010_27_173_83.tif	Elongated	CP	1.0	0.30000000000000004	Hole	0.00025269969566260033
7	009a4190-7583-4821-9a17-737f0485d252	LT0010_27/LT0010_27_173_83.tif	Elongated	CP	1.0	0.30000000000000004	Interphase	0.003112332579729906
8	009a4190-7583-4821-9a17-737f0485d252	LT0010_27/LT0010_27_173_83.tif	Elongated	CP	1.0	0.30000000000000004	Large	0.0002371560463665885
9	009a4190-7583-4821-9a17-737f0485d252	LT0010_27/LT0010_27_173_83.tif	Elongated	CP	1.0	0.30000000000000004	Metaphase	0.0019937788043757434
10	009a4190-7583-4821-9a17-737f0485d252	LT0010_27/LT0010_27_173_83.tif	Elongated	CP	1.0	0.30000000000000004	MetaphaseAlignment	0.00012760593544787474
11	009a4190-7583-4821-9a17-737f0485d252	LT0010_27/LT0010_27_173_83.tif	Elongated	CP	1.0	0.30000000000000004	OutOfFocus	1.2983700047997204e-05
12	009a4190-7583-4821-9a17-737f0485d252	LT0010_27/LT0010_27_173_83.tif	Elongated	CP	1.0	0.30000000000000004	Polylobed	0.002242273211720747
13	009a4190-7583-4821-9a17-737f0485d252	LT0010_27/LT0010_27_173_83.tif	Elongated	CP	1.0	0.30000000000000004	Prometaphase	0.00019782928058422367
14	009a4190-7583-4821-9a17-737f0485d252	LT0010_27/LT0010_27_173_83.tif	Elongated	CP	1.0	0.30000000000000004	SmallIrregular	3.184755803231065e-05
15	00a9d8f7-d819-44a4-ac7a-bceb0782b6c6	LT0019_06/LT0019_06_140_70.tif	Apoptosis	CP	1.0	0.30000000000000004	ADCCM	1.096418848682184e-06
16	00a9d8f7-d819-44a4-ac7a-bceb0782b6c6	LT0019_06/LT0019_06_140_70.tif	Apoptosis	CP	1.0	0.30000000000000004	Anaphase	0.011495475642813665
17	00a9d8f7-d819-44a4-ac7a-bceb0782b6c6	LT0019_06/LT0019_06_140_70.tif	Apoptosis	CP	1.0	0.30000000000000004	Apoptosis	0.9852518976895637
18	00a9d8f7-d819-44a4-ac7a-bceb0782b6c6	LT0019_06/LT0019_06_140_70.tif	Apoptosis	CP	1.0	0.30000000000000004	Binuclear	2.425994503299505e-15
